haa=1  InternalTime=(0.050126,)  TotalTime=3.0715s
haa=2  InternalTime=(0.007819,)  TotalTime=1.2986s
haa=3  InternalTime=(0.008029,)  TotalTime=1.5562s
haa=4  InternalTime=(0.008727,)  TotalTime=1.7595s
haa=5  InternalTime=(0.009148,)  TotalTime=1.1030s
haa=6  InternalTime=(0.009887,)  TotalTime=1.2127s
haa=7  InternalTime=(0.010895,)  TotalTime=1.8292s
haa=8  InternalTime=(0.011445,)  TotalTime=2.3710s
haa=9  InternalTime=(0.012145,)  TotalTime=2.9600s
haa=10  InternalTime=(0.013332,)  TotalTime=3.8107s
haa=11  InternalTime=(0.015688,)  TotalTime=4.4990s
haa=12  InternalTime=(0.013508,)  TotalTime=5.4540s
haa=13  InternalTime=(0.017376,)  TotalTime=5.7873s
haa=14  InternalTime=(0.015497,)  TotalTime=6.2019s
haa=15  InternalTime=(0.015198,)  TotalTime=6.8687s
haa=16  InternalTime=(0.01741,)  TotalTime=7.2719s
haa=17  InternalTime=(0.017154,)  TotalTime=8.3041s
haa=18  InternalTime=(0.01767,)  TotalTime=9.7195s
haa=19  InternalTime=(0.01859,)  TotalTime=9.6954s
haa=20  InternalTime=(0.018546,)  TotalTime=10.1961s
haa=21  InternalTime=(0.025226,)  TotalTime=11.8315s
haa=22  InternalTime=(0.019834,)  TotalTime=11.8334s
haa=23  InternalTime=(0.021853,)  TotalTime=12.4968s
haa=24  InternalTime=(0.02173,)  TotalTime=13.3193s
haa=25  InternalTime=(0.02145,)  TotalTime=13.7350s
haa=26  InternalTime=(0.029123,)  TotalTime=14.7829s
haa=27  InternalTime=(0.023129,)  TotalTime=15.6264s
haa=28  InternalTime=(0.024533,)  TotalTime=16.1819s
haa=29  InternalTime=(0.023854,)  TotalTime=16.8691s
haa=30  InternalTime=(0.024938,)  TotalTime=17.6464s
haa=31  InternalTime=(0.029081,)  TotalTime=19.0414s
haa=32  InternalTime=(0.026439,)  TotalTime=19.5963s
haa=33  InternalTime=(0.026714,)  TotalTime=20.1295s
haa=34  InternalTime=(0.028163,)  TotalTime=25.3075s
haa=35  InternalTime=(0.052642,)  TotalTime=26.1444s
haa=36  InternalTime=(0.029073,)  TotalTime=27.0302s
